,리뷰
316,좋아요 아주좋아요 좋아요
317,대우 믿고 샀는데 성능 좋겠죠
318,전선길이가 조금 짧은것은 단점이나 가볍고 바람쎄요 크기가 작지만 선풍기보다 강력바람 저렴하게 잘 샀어요 만족합니다
319,단만 틀어도 시원함이 멀리 가네요 디자인 좋고 가성비 좋은 제품이예요
320,성능이 좋길 바래요 상품평 보고 구입했어요
321,아들이 사자고 해도 선풍기 대에 에어컨까지 고민 좀 하다 구입했네요 조립도 분 뚝딱 가격대비 좋네요 하나씩 장만하세요
322,아직 써보진안아어요 쿠폰써 저렴하가게 구매해어요 올여름 잘나게네요
323,대우 에어 써큘레이터 바람 세고 좋아요
326,넘 맘에들어요 여자혼자서도 조립문제없어요 기욥고 깜찍해요 더워지기전에 준비끝
327,가성비 짱 인거같아요
328,선풍기및 에어써큘레이터 몇개째 구입년 쓰면 바꿔야했는데 대우제품 수명은 얼마나갈지 몰라도 제품은 정말 좋네요작은 크기에 비해 굉장히 시원대만족 오늘 상품수령후 한개 더 구매함
329,선풍기 쓰던게 고장나 저렴한 가격에 후기가 좋아 구입 해 봤어요 소리가 크다는 평이 있던데 무풍 아닌 이상 저정도 바람 소리는 다 나는 정도 에요 가성비 짱이네요
330,쿠폰으로 저렴하게 구매했구요 작지만 시원하네요 타이머가 없어 아쉽지만
331,사람쇠요 넘 시원해요 단점은 타이머가 없어요
333,배송은굿 기둥 배선이 잘려 있어요동그란 버튼 기스벗겨진건지 검은색 안지워져요 가격이 저렴하고 교환 번거로워서 배선 데이프로 돌돌 말았어요 작은거 치곤 바람이 쌔고 색상 디자인 귀여워요소음이 크네요 타이머도 없고
334,생각보다 넘 귀엽네요 회전도 되고 바람도 잘 나옵니다
335,작지만 바람이 강해서 좋아요 가성비가 좋네요
336,디자인 색상 성능 맘에 들어요
337,조립쉽고 사이즈 자리안차지하고 깔끔하니 조아요
338,바람이 아주 시원해요 디자인도 깔끔해서 마음에 듭니다
339,자세히읽어보삿어야했는데상품평보고산더니시간타임도없고 바람도혼자쇠기밖에안되요 가족들이한데씩 끼고살아야하네요 잘못삿어요
340,디자인 예쁘고 가격 착해요추천합니다
341,배송은 빠르나 제품에서 소음이 생각보다 많이 나네요
342,작지만 션한데 타이머가 없는게 아쉬워요 딱 중국산 장난감 같네요
343,좋아요좋아요좋아요좋아요
344,배송진짜빠르고 엄청시워해요
345,조립도 쉽고 성능도 좋아요 만족합니다
346,단으로해놔도시원하고좋습니다
347,어제받아보구또샀어요착한가격 굿
349,소리는 제법 나는데요 쓰는데 사용상은 큰문제가 없겠네요
350,머리부분을 바짝올리고 시작하니 쉽게 조립이되네요 올여름 잘 쓸것같네요 바람세기도 무척세네요
351,공간차지 적고 시원하고 작동 간단하고 아쉬운점 두가지는 소음도 참을만하나 회전시 일반 선풍기에비해 회전폭이 좁고 안전앞망 안쪽에 다섯부분 로 튀어나와있는 부분이 너무 얇으면서 날카로와서 세척시 다칠수 있다는 점 어느분 상품평처럼 여름에 머리말리기에는 진짜 갑일듯하고요 취침시에는 소음때문에 단으로 참고로 조립시 본체기둥을 홈으로 끼울적에 길게 연결된 코드선먼저 기둥안쪽으로 밀어넣고 끼우시면 됩니다 손으로 밀어넣어도되고요 기둥 뒷면에 높낮이 조절버튼 누르시고 올리면 따라 올라가더라구요
352,작지만 바람 세고 가볍고 너무 만족합니다
353,두개주문했는데 옥션보니 가격이ㅠㅠ 아쉽지만 잘쓸께요 시원해요
354,조립쉽네요 배송완전빨라요 할인받아서 사려고 취소했는데 취소가안되서 하나는 할인없이 샀어요 근데 오늘옥션들어가보니 더 싸네요 할인없이 사는게요 ㅠㅠ 아쉽네요 상품과 배송은 만족합니다
355,어제 오후에 주문하고 오늘 받았네요배송이 거의 로켓이네요재고물량이 있었나봐요제품은 좋습니다 다만 날개가 작아서 조금 아쉽네요
356,작아서 귀엽고 생각보다 시원해요 받침대가 약간 부실해 헤드부분이 엎어질까봐 살짝 걱정되지만 잘 쓸께요
357,작고 앙증맞네요 ㅎㅎ
358,배송 빠르게 잘 받았어요잘 쓰겠습니다
359,딱 기본만 되는데 바람 시원하고 공간도 크게 차지하지 않아서 좋아요
360,당연히 있어야할 타이머가 없네요 반품하려다 조립하고 발견한 탓에 그냥 쓰기로 취침 타이머 사용하시는 분들은 비추요
361,작은데 바람쎄네요 좋아요 한대 더 살까합니다
362,배송빠르고 좋아요 추천합니다
363,받앗어요 저렴이 잘데려왓네요ㅋ
365,잘 받았습니다 많이 파세요
366,조립하기 쉽고 디자인 깔끔하고 좋아요
367,좋아요다음에 또 살게요
368,귀엽게 생겨서 용서한다
369,회전이 좌우로만 되는군요 하늘쪽으론 안되는군요
370,바람세기 괜챦아요 작지만 좋아요 시간타이머가 없어서 아쉬워요
371,가격대비좋아요 만족합니다
372,가성비 좋고 시험사용해보니 작동 잘되고 일반선풍기 보다 작아서 보관이 좋을듯함
373,일단 조림하다보니 하단부분과 이어지는 기둥 연결부위를 사진처럼 전선의 기스가 발생될수밖에 없는 디자인으로 만들었더라구요 하단 레버돌리는 상판에 기름같은게 묻어져 있어서 조립하다가 손 여기저기 묻게 되구요
374,아직조립을못햇어요 평믿고주문한거라서하자만없길
375,크기 풍량 디자인 모두 좋아요 하지만 피복쪽에 문제가 있었습니다 전기 테이프 감아서 쓸건데요 보내실 때 물건 확인이 좀 필요할 것 같네요 안전상에 문제가 있을 수 있으니까요 많이 파세요
376,배송빨라요 작고 이쁘요 타이머 기능이 아쉽네요
377,저렴하지만 바람은 쎄고 시원하네요 재포장한티가 좀 나서 기분이 썩 좋지는 않지만 쓰는데 이상없으니 그냥 써요
379,잘받음 시원함
381,작지만 바람도세고 대만족입니다
382,빠른배송과 좋은가격 강추합니다
383,조용하고 바람도 세고 좋아요 재구매해요
384,만족합니다 싸고 바람도 쎄고 좋아요
385,가격대비 매우 만족합니다 다만 소음은 좀 있어요 하지만 단에서 상당히 강력하기 때문에 이정도 소음은 당연한 수준인것 같습니다
386,가격도 착하고 성능도 괜찮고 좋아요
387,시원하니 좋아요 조립하는데 처음에 조금 고생했는데 쉽게 할수 있을듯 해요
388,배송도 빠르고 만족합니다
389,가격은 쿠폰덕 봤고요 바람은 강한편이지만 좌우회전이 잘 안되요걍 회전안하고 사용할랍니다
390,하 진짜 상자에 제대로 들어가도 않고 반품안되서 쓰기로 했다만 최악에 싸구려다
391,조립 쉬워요 여자혼자 가능
392,아이들 방에 두려고 샀어요 타이어가 없는것 빼고는 다 좋아요
393,회전이 안되서 교환을 했는데 일만에 그것도 전화로 재촉을 해서 받았네요 교환 받은 제품은 정상이고 마음에 들지만 교환이 느린거는 고쳐져야 겠어요 그리고 기본 높이는 절반 정도만 되면 좋겠어요 그 상태에서 높이는 수동 나사로 높이 고정하든 폴대를 추가하여 고정하든지 하구요
394,시간타임이ㅜ없는거네요 참고하세요
395,작은데 생각보다시원해요 하나더살까생각중이에요ㅎㅎ 다만 타이머없는게아쉽
396,사고나니 타이머가 없네요ㅡㅡ
397,시원하고 소음도 없고 좋습니다
398,기대보다 키가 작아요 소리도 시끄럽고 ㅠ
399,완전 좋아서 재구매
400,좋아요 디자인이 깔끔해요
401,배송은 빠릅니다 근데 선이 짧아요ㅠㅜ
402,공간 차지 안하고 시원한 바람
403,누가 쓰던걸 보낸건지 더럽다 부실해서 잘 부서진다 최악이다
404,기대감으로 구매했습니다 선풍기가 좀 부족해서 저렴한 가격에 구입해 봤는데 좋았으면 좋겠네요 선풍기들이 고장도 잘 나고 바람세기나 소음이 가각인데 어떨지 모르겠네요 기대감안고 조립해 봐야 겠어요
405,두번째 구매해요 가격도 저렴하고 바람이 무지쎄서 좋아요
406,조립도 간단하고 파워도 좋네요 감사히 잘쓰겠습니다
407,다 좋은데 초미풍이 없어요 단도 바람이 쎄네요 여름철 잘때는 못쓰겠네요ㅜㅜ
408,너무너무 감사합니다 선생님 안녕하세요 저는 방탄소년단 황금 막내가 너무 많아서 그냥 다
409,에어써큘레이터 에어에어
410,배송은 안전하게 왔구요 조립도 쉬웠구요 바람도 시원하고 좋네요 소리가 좀 있긴 하지만 사용 쉽고 좋네요
411,엄청시원하네요 멀리까지 시원해서 좋아요
412,저렴한 가격에 맘에 들어요
413,쉽다고는 하는데조립시작합니다 화이트라 깔끔하네요
414,일단 가성비 최고고 디자인 너무이뻐요 만족함
415,가격보고 미쳤다리 싼게 그렇겟지 생각했다면 오산 가성비는 이럴때 쓰는말 역시 대우 짱
416,배송이 빠르고 버튼조작이 단순해서 좋아요 바람의 세기도 좋고 바람이 멀리까지 갑니다 공기순환용 써큘레이터로 추천드리고 소음은 일반선풍기 소리만큼 납니다 저소음은 안됩니다 취침용으로는 시끄러울 수 있어요 쿠폰으로 저렴하게 구매했어요
417,고장나지말고 잘살아보자
418,소음도 크게 없고 조립도 간단하고 최고 
419,배송빠르게 잘받았습니다
420,시원하고 슬림해서 좋아요 하나 더 살까 고민중
421,넓은 공간에서 사용하기 좋아 하나 더 주문했습니다 작은 공간에서는 소리가 조금 크게 느껴지네요
422,어제주문했는데 오늘와서 좋네요 오자마자조립하고 사용합니다
423,좀작긴한데 방에서 쓰긴좋아요 조립도쉽고 바람도시원 근데타이머가없는듯
424,써큘레이터 장만해 봤어요 저렴하네요 선풍기보다 작아요 조립ㅠ
425,생각보다 조립어렵지않고 잘돌아갑니다
426,일반 선풍기보다 사이즈가 작아 공간 많이 차지하지 않아 좋고 예쁘네요 성능도 좋아 먼 거리까지 바람이 시원하게 전달되네요 아주 만족합니다
427,작고 귀엽네요 바람도 시원하구요 조립도 쉬워요다 좋은데 타이머가 없어서 그게 아쉬워요밤에 잘때 틀고 잘 선풍기는 다른걸로 구매해야겠어요
428,처음에 구매한게 불량이라 반품처리 하고 바로 시켰는데 스크레치라고도 할수 없는 까짐엄청있고 나사 꼽는곳에 녹 도 있어요끈으로 묶여있지도 않고 안 부셔지고 온게 다행이네 귀찮아서 그냥 씁니다
429,울 딸이 너무너무 좋아올 여름 더위 걱정하지말고 잘 지내고
430,년 전에 구매해서 잘 사용하다가 년만에 모터가 고장나서 이번 기회에 재구매 했어요 물가가 올랐는데 가격이 여전해서 신기하다 했더니 헤드에 뒷커버 고정하는 부분이 예전보다 부실해졌고 마감도 허술해졌네요 그래서 그런지 지난번 사용하던것 보다 소음이 심해요
431,대우 믿고 구매했어요 오래쓰기를 
432,좋아요 좋아요 잘받았습니다
433,일반선풍기보다 바람 쎄고 불량은 아닌듯 이가격에 이정도면 아주 괜찮다고 생각함
434,배송 빠르고 조으네요 가격도 저렴해요
435,조립간단하네요 디자인 심플 고장없음 좋겠어요
436,저렴하게 잘 들였네요 타이머 없는 것은 아쉽지만 깜찍해요
437,크게 기대하지 않고 주문했는데 포장도 꼼꼼하고 배송도 총알배송이네요 조립도 설명서 보고 하면 그런데로 할 수 있을 듯요 바람 세기도 좋은데 다만 소음이 조금 있네요
438,올 여름 더위야 안녕히 가세요 ㅋㅋㅋ ㅋㅋ
439,조립하는데 조금 걸림 어렵진않고 귀엽네요
440,짱 쎄네요큰 스탠드선풍기보다 바람 쎕니다
441,배송도 빠르고 제품도 좋아요
443,배송도 빠르고 조립도 생각보다 쉬웠어요
444,조금 가격만큼 기능이 없긴하지만 시원해요
446,작년에도 여러개 주문 가성비 짱이고 바람도 세요 소음도 적고
447,예쁩니다 ㅎㅎㅎㅎㅎㅎㅎㅎ홓 사진은 박스뜯기 전인데 사용감 굿이고 디자인 이뻐여 ㅎ
448,만족합니다 총알배송입니다 감사합니다
449,더워지기 전에 도착해서 잘 쓰고 있어요 바람도 시원하네요 쿠폰으로 저렴히 구매해서 넘 좋네요
450,소음이 좀 큰거 빼곤 아주 좋음
451,좋아용좋아요좋아요좋아요좋아요좋아요좋아요감사합니다
452,소음도 적고 바람세기 좋습니다
453,다 좋은데 타이머가 없군요왠지 싸더라
454,가볍고 조립 쉬워요
455,스마일 배송이라 주문한 다음날 바로 왔네요 조립도 쉽고 화이트라 깔금하고 좋아요
456,시원하고 좋아요 생각보다 팬소음이 있긴합니다
457,배송 진짜 빠르고요 바람세기도 선풍기보다 셉니다팬이 작으니까 좁고 세게 멀리 나가서 앞에 놓으면 정말 시원해요 소음도 그리 심하지 않고요 그런데 우선 냄새 심합니다 그리고 제게 온 게 기둥달린 모터 있는 머리 부분이 삐뚤게 와서 잉했는데 조립 다하고 회전을 돌릴때 확실히 좌우의 회전 각이 극심합니다상세 내용 작성하여 사진으로 첨부하였습니다 이외에도 사진과 동영상도 있는데 걍 간단하게만 했네요 저는 취소 환불 처리하기로 마음을 결정했습니다
